query,intent
fertilizer requirment in arecanut,15. Agrochemical
quality seed of green gram,15. Agrochemical
asking about insect problem in ridge gourd,15. Agrochemical
control measure of pest infestation,15. Agrochemical
control measures of rice hispa,15. Agrochemical
asking about fruit borer of brinjal,15. Agrochemical
stem borer,15. Agrochemical
wanted to register his name in kcc,15. Agrochemical
control measures of rice hispa,15. Agrochemical
asking about the cultural practices of ridge gourd,15. Agrochemical
asking for use of growth promoter,15. Agrochemical
control measures of flower droping,15. Agrochemical
asking about the benefit of vitamin solution in ridge gourd,15. Agrochemical
asking about the control of fruit fly,15. Agrochemical
query regarding summer cultivable crop,15. Agrochemical
control of fruit fly in bitter gourd,15. Agrochemical
control of white fly in chilli,15. Agrochemical
asking about fertilizer dose for coconut,15. Agrochemical
control measure of leaf eating caterpiller of cabbage,15. Agrochemical
asking about the control of leaf eating cater piller,15. Agrochemical
asking about the control measure against downey mildew in cucumber,15. Agrochemical
asking about the new fish pond construction,15. Agrochemical
control measures of flower droping,15. Agrochemical
asking about control of nitrogen deficency,15. Agrochemical
asking for the control of catepillar in ridge gourd,15. Agrochemical
asking about the control measure to control aphid infestation in chilli,15. Agrochemical
rice stem borer,15. Agrochemical
asking about aphid infestation chilli,15. Agrochemical
asking herbicides name to kill the annual grasses,15. Agrochemical
control measure of leaf eating caterpiller of bhindi,15. Agrochemical
asking about fertilizers dose in boro rice,15. Agrochemical
asking about ginger cultivation and ussd service,15. Agrochemical
asking about fertilizer dose of ginger,15. Agrochemical
asking about cracking of mango,15. Agrochemical
asking about the control measure against pseudostem borer infestation in banana,15. Agrochemical
asking about the vitamin for bhindi,15. Agrochemical
asking about the vitamin for bhindi,15. Agrochemical
asking for the control of stickiness of soil,15. Agrochemical
micronutrient requirement for bottle gourd,15. Agrochemical
asking control of fruit borer attack in tomato,15. Agrochemical
asking about control of borer in paddy,15. Agrochemical
asking about the amount and time for top dressing of urea in chilli,15. Agrochemical
asking for the control of stem borer in sali cultivation,15. Agrochemical
asking control of thrips attack in pumpkin,15. Agrochemical
asking for the control of caterpillar in rice cultivation,15. Agrochemical
asking about growth promoter of paddy,15. Agrochemical
asking recommended fertilizer dose of litchi at the age of six years,15. Agrochemical
asking about the vitamin solution for mango,15. Agrochemical
asking about growth promoter of paddy,15. Agrochemical
asking about insect problem in ridge gourd,15. Agrochemical
asking about micronutrient requirement for bhindi,15. Agrochemical
asking about seed treatment of ridge gourd,15. Agrochemical
control of stem borer in paddy,15. Agrochemical
query regarding control measures of fungal diseases in bhindi,15. Agrochemical
asking about the fertilizer uses in coconut tree.,15. Agrochemical
asking about micronutrient requirement for boro paddy,15. Agrochemical
asking about blite in boro rice,15. Agrochemical
asking control of leaf hopper attack in paddy,15. Agrochemical
asking control of stem borer attack in boro rice,15. Agrochemical
asking recommended fertilizer dose of brinjal,15. Agrochemical
control measure of rice stem borer,15. Agrochemical
control measure of fruit borer of ridge gourd,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
asking for the control of leaf eating caterpillar,15. Agrochemical
asking about control of gandhi bug,15. Agrochemical
parasitic infestation,15. Agrochemical
control measures of rice stem borer,15. Agrochemical
control measures of rice stem borer,15. Agrochemical
asking about the control measure against thrips attack in chilli,15. Agrochemical
control of bacterial infection,15. Agrochemical
asking about control of leaf eating caterpiller,15. Agrochemical
asking about good varity of ridgegourd,15. Agrochemical
query regarding animal husbandry,15. Agrochemical
query regarding control measures of fungal diseases in french bean,15. Agrochemical
insect pest problem,15. Agrochemical
asking about fruit droping of promegranate,15. Agrochemical
control of fruit fly in ridge gourd,15. Agrochemical
asking about top dressing,15. Agrochemical
control measures of rice stem borer,15. Agrochemical
asking about the control measure against powdery mildew in ridge gourd,15. Agrochemical
control measures of brown spot,15. Agrochemical
asking for the control of stem borer in rice cultivation,15. Agrochemical
asking about insect problem in chilly,15. Agrochemical
control of cut worm in pumpkin,15. Agrochemical
top dressing of rice,15. Agrochemical
asking about control of white fly in bhindi,15. Agrochemical
asking about control of borer in paddy,15. Agrochemical
asking for the control of stem borer in rice cultivation,15. Agrochemical
asking for the control of leaf miner in cucumber,15. Agrochemical
rice stem borer,15. Agrochemical
asking for control of rice stem borer,15. Agrochemical
asking for control of rice stem borer,15. Agrochemical
asking for use of growth promoter,15. Agrochemical
asking control of stem borer attack in boro rice,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
asking about the control measure to control aphid infestation in chilli,15. Agrochemical
asking about the recommended fertilizer dose for ginger,15. Agrochemical
query regarding post drying liming of fish pond,15. Agrochemical
asking about control of aphid in coe pea,15. Agrochemical
asking about control of aphid,15. Agrochemical
control of fruit fly in pumpkin,15. Agrochemical
asking about the control of eus,15. Agrochemical
asking forthe control of stem borer in paddy cultivation,15. Agrochemical
asking for basal fertilizer of jute,15. Agrochemical
asking about the toxic effect of urea fertilizers,15. Agrochemical
asking control of powdery mildew in cucumber,15. Agrochemical
asking about control of borer in okra,15. Agrochemical
control of hispa in paddy,15. Agrochemical
asking about rice stem borer,15. Agrochemical
control measures of fruit borer,15. Agrochemical
control measure turmite of betel vine,15. Agrochemical
asking about the control ohf rice hispa,15. Agrochemical
control measure of leaf eating caterpiller of ridge gourd,15. Agrochemical
asking about the cultural practices of papaya,15. Agrochemical
asking control of fruit fly attack in bottle gourd,15. Agrochemical
asking control of leaf hopper attack in boro rice,15. Agrochemical
asking for control of rice stem borer,15. Agrochemical
asking about zinc sulphate for top dresssing in paddy,15. Agrochemical
query regarding thrips infestation in onion,15. Agrochemical
asking about the fertilizer dose of arecanut,15. Agrochemical
control measure of leaf eating caterpiller of ridge gourd,15. Agrochemical
control measures of rice stem borer,15. Agrochemical
asking about the control of gandhi bug in rice,15. Agrochemical
asking about the control of gandhi bug in rice,15. Agrochemical
asking about pond preparation,15. Agrochemical
asking about insect problem in paddy,15. Agrochemical
asking recommended fertilizer dose of black pepper for first year,15. Agrochemical
control measures of rats,15. Agrochemical
insect pest problem,15. Agrochemical
asking about control of mite infestation on sugarcane,15. Agrochemical
asking about the control measure against powdery mildew in brinjal,15. Agrochemical
query regarding control measures of rice stem borrer,15. Agrochemical
control measure of pest,15. Agrochemical
horticultural query,15. Agrochemical
asking about the cultural practices of turmeric,15. Agrochemical
asking about the control measure against fruit fly infestation in pumpkin,15. Agrochemical
asking about the cultural practices of ridge gourd and cucumber,15. Agrochemical
asking about control of  aphid infestation on bhindi,15. Agrochemical
control measure of gundhi bug of padddy,15. Agrochemical
asking for the control of stem borer in rice cultivation,15. Agrochemical
asking for the control of deficiency of boron in bitter gourd,15. Agrochemical
liming of nursery pond,15. Agrochemical
asking about control of borer in brinjal,15. Agrochemical
asking about the control measure against thrips attack in king chilli,15. Agrochemical
control of fruit fly in ridge gourd,15. Agrochemical
asking for control of leaf miner,15. Agrochemical
control of termite in sugarcane,15. Agrochemical
asking about the control measure against epilachna beetle in pumpkin,15. Agrochemical
asking control of fruit fly attack in cow pea,15. Agrochemical
asking control of leaf hopper attack in paddy,15. Agrochemical
fertilizer dose of turmeric,15. Agrochemical
asking about the application of micro-nutrient in paddy.,15. Agrochemical
asking whether he can apply weedicides 75 days after transplanting,15. Agrochemical
query regarding feeding of carp fry,15. Agrochemical
query regarding application of lime,15. Agrochemical
asking about the control of nacrosis,15. Agrochemical
control measure of pest,15. Agrochemical
asking about control of gandhi bug in rice,15. Agrochemical
asking about the control measure against thrips attack infestation in chilli,15. Agrochemical
asking about control of rice stem borer,15. Agrochemical
control measure of leaf eating caterpiller of ridge gourd,15. Agrochemical
control measure of leaf eating caterpiller of cucumber,15. Agrochemical
asking about fertilizer dose of ahu rice,15. Agrochemical
asking for the control of weeds in ridge gourd,15. Agrochemical
asking about micronutrients in cucumber,15. Agrochemical
asking for control of flower dropping problem,15. Agrochemical
fruit fly,15. Agrochemical
asking about micronutrient requirement for ridge gourd,15. Agrochemical
control of leaf blast in paddy,15. Agrochemical
asking for the control of caterpillar in ridge gourd,15. Agrochemical
control measure of pest,15. Agrochemical
control measure leaf curling of chilli,15. Agrochemical
asking for control of fruit borer,15. Agrochemical
powdery mildew,15. Agrochemical
fruit fly problem in summer squash,15. Agrochemical
asking for the control of red ants in banana,15. Agrochemical
asking control of yellow stem borer attack in boro rice,15. Agrochemical
asking for top dressing of mop,15. Agrochemical
query regarding control measures of fruit fly in ridge gourd,15. Agrochemical
query regarding control measures of fungal diseases in chilli,15. Agrochemical
control measures of gundhi bug,15. Agrochemical
control measures of gundhi bug,15. Agrochemical
control measures of rice hispa,15. Agrochemical
micronuitrient for bhindi,15. Agrochemical
asking recommended fertilizer dose of colocasia,15. Agrochemical
asking recommneded fertilizer dose of sali rice,15. Agrochemical
asking for the control of fruit fly in watermelon,15. Agrochemical
asking for the control of stem borer in rice cultivation,15. Agrochemical
control measure of mites,15. Agrochemical
control of white fly in chilli,15. Agrochemical
control measure of leaf eating caterpiller of ridge gourd,15. Agrochemical
asking control of butter fly attack in lemon,15. Agrochemical
control of fruit fly in pumpkin,15. Agrochemical
control measure leaf curling of chilli,15. Agrochemical
micronuitrient for chillies,15. Agrochemical
control measure of fruit fly of spine gourd,15. Agrochemical
insect pest problem,15. Agrochemical
rice hispa,15. Agrochemical
control measure leaf curling of chilli,15. Agrochemical
micronutrient for chillies,15. Agrochemical
white diarrhoea,15. Agrochemical
asking for control lef curling in chilli,15. Agrochemical
asking about the vitamin for ridge gourd,15. Agrochemical
fruitfly problem in pumpkin,15. Agrochemical
asked about vitamin required for ridge gourd,15. Agrochemical
banana pseudostem borer problem,15. Agrochemical
query regarding application of hormone in marigold,15. Agrochemical
query regarding application of vitamin in bottle gourd,15. Agrochemical
asking about the micronutrient for fish,15. Agrochemical
asking about the fertilizer dose for coconut tree ( 10 yeras old),15. Agrochemical
control measure of termite of betel vine,15. Agrochemical
control measure of leaf eating caterpiller of chilli,15. Agrochemical
asking about the control of leaf spot in paddy,15. Agrochemical
query regarding control measures of rice hispa,15. Agrochemical
pest control in ridge gourd,15. Agrochemical
query regarding control measures of leaf eating caterpilar in betel vine,15. Agrochemical
control measure of pest in sponge gourd,15. Agrochemical
asking application of crop booster in boro rice,15. Agrochemical
asking for control shoot borer,15. Agrochemical
asking about the control measure against papaya mealy bug,15. Agrochemical
asking about pond management,15. Agrochemical
asking about control of physiological disorder,15. Agrochemical
asking about fish feed,15. Agrochemical
control of leaf miner attack in bottle gourd,15. Agrochemical
asking for control of immature nut fall,15. Agrochemical
asking spacing of coconut,15. Agrochemical
asking about use of micronutrient in banana,15. Agrochemical
asking about the control measure against epilachna beetle infestation in ridge gourd,15. Agrochemical
asking about the control measure against leaf miner infestation in assam lemon,15. Agrochemical
asking control of nematode attack in banana,15. Agrochemical
control measures of gundhi bug,15. Agrochemical
aphids in marigold,15. Agrochemical
asking about ulcer in fish,15. Agrochemical
fruit fly,15. Agrochemical
wanted to know the names of seeds of marigold,15. Agrochemical
asking for the spacing to be maintained in marigold,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
query regarding application of vitamin in paddy,15. Agrochemical
asking about nutrient management in paddy.,15. Agrochemical
asking about leaf curling in chilly,15. Agrochemical
control measure of leaf curling of bhindi,15. Agrochemical
fruit fly,15. Agrochemical
asked about herbicide use in paddy field,15. Agrochemical
asking about the control of termite infestation in sugarcane,15. Agrochemical
asking about floor space requirement of broiler,15. Agrochemical
micronuitrient for bhindi,15. Agrochemical
asking recommended fertilizer dose of brinjal,15. Agrochemical
query regarding application of vitamin in paddy,15. Agrochemical
fruitfly rpoblem in ridge gourd,15. Agrochemical
asking about the benefit of vitamin solution in ridge gourd,15. Agrochemical
control measure of blast of rice,15. Agrochemical
asking about the availability of sali paddy sedds in kamrup district,15. Agrochemical
asking about the control measure against fruit fly infestation in ridge gourd,15. Agrochemical
control measure of leaf curling of bhindi,15. Agrochemical
asking recommended fertilizer dose of turmeric,15. Agrochemical
query regarding control measures of fruit fly in ridge gourd,15. Agrochemical
asking about control of growth promoter of ridge gourd,15. Agrochemical
shoot borer in brinjal,15. Agrochemical
aphid problem in cowpea,15. Agrochemical
asking about fertilizer dose in coconut.,15. Agrochemical
asking about control of leaf eating caterpiller in bhindi,15. Agrochemical
asking application of crop booster in betel vine,15. Agrochemical
control measure of fruit fly of pumpkin,15. Agrochemical
query regarding control measures of fungal diseases in gladiolus,15. Agrochemical
setts treatment of sugarcane,15. Agrochemical
micro nutrient requirment in betel vine,15. Agrochemical
asking about control of fruit fly in bottle gourd,15. Agrochemical
query regarding control measures of wilting in ginger,15. Agrochemical
query regarding feeding of carp,15. Agrochemical
control of termite in betel vine,15. Agrochemical
control of stem borer in paddy,15. Agrochemical
asking about cultivated vegetables in this season,15. Agrochemical
asking about control of gandhi bug in rice,15. Agrochemical
asking about control of white fly in ridge gourd,15. Agrochemical
control of gandhi bug in paddy,15. Agrochemical
control of predatory fishes in pond,15. Agrochemical
asking control of fruit fly attack in pumpkin,15. Agrochemical
asking about the of aphids,15. Agrochemical
asking about micronutrient requirement for chilli,15. Agrochemical
control of caterpiler in sesame,15. Agrochemical
asking about the kisan call centre,15. Agrochemical
asking about control of bitter ness in ridge gourd,15. Agrochemical
asking about fertilizer dose of coconut,15. Agrochemical
query related to agriculture,15. Agrochemical
asking control of leaf miner attack in bitter gourd,15. Agrochemical
asking for control of aphids,15. Agrochemical
asking about control of white fly in ridge gourd,15. Agrochemical
asking about the vitamin for ridge gourd,15. Agrochemical
asking about fertilzers dose in coconut,15. Agrochemical
micronutrient for ridge gourd,15. Agrochemical
termite problem in sugarcane,15. Agrochemical
pseudostem borer problem in banana,15. Agrochemical
asking for control leaf curling,15. Agrochemical
control measure of pest,15. Agrochemical
asking about leaf curling in ridge gourd,15. Agrochemical
asking about the control of fruit in cucumber,15. Agrochemical
fertilizer requirment in sali paddy as basal dose,15. Agrochemical
asking about stocking density of fish,15. Agrochemical
asked about bittlevine problem,15. Agrochemical
control measures of cutworms in vegetable gardens,15. Agrochemical
asking about the medicine for poultry,15. Agrochemical
asking about control of fruit droping in ridge gourd,15. Agrochemical
control of fruit fly in ridge gourd,15. Agrochemical
asking about the laguage problem of sms sent by m- kissan,15. Agrochemical
control of powdery mildew in papaya,15. Agrochemical
query regarding control measures control leaf eating caterpilar in ber,15. Agrochemical
asking about treatment parasitic infestation,15. Agrochemical
control measures of caterpillres,15. Agrochemical
query about availability of frozen semen for ai of a jersy cow,15. Agrochemical
query about availability of ai for insemination,15. Agrochemical
anestrous,15. Agrochemical
asking control of fruit fly attack in ridge gourd,15. Agrochemical
wanted to stop sms advisory,15. Agrochemical
asking about fertilizer dose for coconut,15. Agrochemical
conplain against dd kisaan sms system and want to stop it,15. Agrochemical
control measure of flower dropping of chilli,15. Agrochemical
aphid problem in mosambi,15. Agrochemical
asking about the root hormone for mango,15. Agrochemical
control measures of mango pulp weevil,15. Agrochemical
asking about fertilizer dose in cocconut.,15. Agrochemical
fertilizer requirment in arecanut,15. Agrochemical
asked about goat,15. Agrochemical
control of stem borer in paddy,15. Agrochemical
asking about varieties of saali paddy,15. Agrochemical
micronuitrient for lemon,15. Agrochemical
control measure of leaf eating caterpiller of ridge gourd,15. Agrochemical
complain against dd kisaan sms service and want to stop it,15. Agrochemical
query regarding ussd service,15. Agrochemical
control measures of physiological disordes,15. Agrochemical
complain against dd kisaan sms service and want to stop it,15. Agrochemical
control of yellow vein mossaic in bhindi,15. Agrochemical
control of weeds in arecanut,15. Agrochemical
feed and feeding of fish,15. Agrochemical
control measures of fruit fly,15. Agrochemical
control measures of aphids,15. Agrochemical
asking control of fruit fly attack in pointed gourd,15. Agrochemical
asking about stopage of sms,15. Agrochemical
complain against dd kisaan sms service and want to stop it,15. Agrochemical
query regarding micronutrient for ridge gourd,15. Agrochemical
asking about the top dress of urea in sali rice,15. Agrochemical
asking about the fertilizer dose for mango(5 years).,15. Agrochemical
asked about season for okra,15. Agrochemical
asking about the control of leaf curling in chilli,15. Agrochemical
call from assam,15. Agrochemical
varieties of joha rice,15. Agrochemical
control measure of deteriorated water,15. Agrochemical
control of shoot borer in lemon,15. Agrochemical
asking about the control of gandhi bug,15. Agrochemical
asking about ussd service,15. Agrochemical
control of leaf spot in black pepper,15. Agrochemical
top dressing in turmeric,15. Agrochemical
fertilizer dose of rice,15. Agrochemical
asking about the medicine for cow,15. Agrochemical
liming for fish pond,15. Agrochemical
aphid problem in chillies,15. Agrochemical
pest control in cowpea,15. Agrochemical
control of wilting in banana,15. Agrochemical
fruit fly problem in bitter gourd,15. Agrochemical
query regarding veterinary,15. Agrochemical
asking about the medicine for poultry,15. Agrochemical
asking about fertilizers dose in saali paddy,15. Agrochemical
top dressing in paddy seedling  bed,15. Agrochemical
control of leaf blast in paddy,15. Agrochemical
query regarding control measures of leaf minner in pumpkin,15. Agrochemical
fertilizer requirment in sali paddy as basal dose,15. Agrochemical
new registration,15. Agrochemical
asking about colic pain,15. Agrochemical
asking about breeds of dairy cattle,15. Agrochemical
control measures of aphids,15. Agrochemical
control measure of powdery mildew and alternet of lencer gold,15. Agrochemical
query regarding stoping of sms advisory service,15. Agrochemical
pest control in chilli,15. Agrochemical
control measures of caterpillers,15. Agrochemical
asking about the vitamin for chilli,15. Agrochemical
control measures of fruit scarring beetle,15. Agrochemical
asked about paddy,15. Agrochemical
seed rate of sali joha rice,15. Agrochemical
fungal wiltin bottle gourd,15. Agrochemical
asking about fruit fly in ridge gourd,15. Agrochemical
asking to stop sms,15. Agrochemical
query regarding veterinary,15. Agrochemical
conplain against dd kisaan sms system and want to stop it,15. Agrochemical
asking about the stop of sms,15. Agrochemical
requesting for deacivation of sms alert,15. Agrochemical
asking about fertilzer dose,15. Agrochemical
query regarding control measures of fruit borrer in mango,15. Agrochemical
control measure of fruit fly of yard long bean,15. Agrochemical
asking recommended fertilizer dose of mango,15. Agrochemical
asking control of fruit fly attack in bitter gourd,15. Agrochemical
query regarding control measures of fruit fly in pumpkin,15. Agrochemical
query regarding control measures of stem borrer in citrus,15. Agrochemical
query regarding deactivation of sms advisory,15. Agrochemical
fruitfly problem in pointed gourd,15. Agrochemical
query regarding control measures of aphid in cowpea,15. Agrochemical
asking about fish fingerlings availibility in guwahati,15. Agrochemical
query regarding micronutrient in brinjal,15. Agrochemical
control measures of fruit borer,15. Agrochemical
query regarding activation of sms advisory on black pepper,15. Agrochemical
asking about fertilzier dose,15. Agrochemical
asking about pond management,15. Agrochemical
query regarding control measures of wilting in chilli,15. Agrochemical
asking about cultural practices,15. Agrochemical
asking to stop kisaan sms,15. Agrochemical
feeding of carp fry,15. Agrochemical
asking about the control worm in banana,15. Agrochemical
asking about stopage of sms,15. Agrochemical
query regarding deactivation of sms advisory,15. Agrochemical
asking about the control of pre-emergence weeds,15. Agrochemical
asking to stop sms,15. Agrochemical
asking to stop sms,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking for stop of sms,15. Agrochemical
asking to stop sms,15. Agrochemical
asking about cockroch problems,15. Agrochemical
asking for trainning on grafting,15. Agrochemical
control measure of turbidity,15. Agrochemical
fertilizer dose of coconut,15. Agrochemical
asking about rice transplanter,15. Agrochemical
asking about the vitamin for ridge gourd,15. Agrochemical
asking about the nutrint mannagement in arecanut,15. Agrochemical
control measure of leaf spot in betel vine,15. Agrochemical
asking control measure of shoot borer attack in lemon tree,15. Agrochemical
fertilizer requirment in paddy as basal dose,15. Agrochemical
asking about to stop sms servise,15. Agrochemical
query about whitish diarrhea in ducks,15. Agrochemical
control messure of sotred pest,15. Agrochemical
asking to stop sms,15. Agrochemical
asking to stop sms,15. Agrochemical
query regarding control measures of termite in banana,15. Agrochemical
query regarding deactivation of dd kisaan sms,15. Agrochemical
query regarding control measures of earthwarm in banana,15. Agrochemical
asking about thecontrol of rice hispa rice,15. Agrochemical
control measure of pest,15. Agrochemical
"asking about the fertilizer dose of coconut tree. 
(10 years old).",15. Agrochemical
fertilizer dose of arecanut,15. Agrochemical
asking about the stop of sms,15. Agrochemical
traning on paddy,15. Agrochemical
cultural practices of radish,15. Agrochemical
fertilizer dose of sali rice,15. Agrochemical
control of downy mildew in ridge gourd,15. Agrochemical
fertilizer requirment in sali paddy as basal dose,15. Agrochemical
seeking khaki campbel duck,15. Agrochemical
feed for fish,15. Agrochemical
feeding of carps,15. Agrochemical
asking for control of borer in sugarcane,15. Agrochemical
asking control of shoot borer attack in sugarcane,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
asking application of growth promoter in papaya,15. Agrochemical
asking about fertilizer dose for coconut,15. Agrochemical
asking about the fertilizer dose of sali paddy.,15. Agrochemical
"asking about the fertilizer dose of sali paddy 
(local variety).",15. Agrochemical
"asking about the fertilizer dose of sali paddy
 (local variety).",15. Agrochemical
control measure gundhi bug of citrus,15. Agrochemical
asking about the benefit of growth regulator that can be used for rooting.,15. Agrochemical
asking for basal fertilizer dose for rice,15. Agrochemical
complaining against sms from dd kishan,15. Agrochemical
asking about treatment of bloat and off fed,15. Agrochemical
feed for carp,15. Agrochemical
control of gandhi bug in paddy,15. Agrochemical
asking to stop sms,15. Agrochemical
query regarding stoping of sms advisory,15. Agrochemical
micronutrient for rice,15. Agrochemical
micronuitrient for rice,15. Agrochemical
hispa problem in rice,15. Agrochemical
complain against dd kisaan sms service and want to stop it,15. Agrochemical
asking about to stop sms sending from us,15. Agrochemical
asking about time of application of fertilzers,15. Agrochemical
control measures of rice hispa,15. Agrochemical
asking about the control of rice hispa,15. Agrochemical
control measure of fruit fly of brinjal,15. Agrochemical
asking for control of rice stem borer,15. Agrochemical
query regarding control measures of leaf eating caterpilar in paddy,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
fertilizers for papaya,15. Agrochemical
control of leaf blast in paddy,15. Agrochemical
citrus trunk borer problem,15. Agrochemical
asking time of air layering of litchi,15. Agrochemical
asking for use growth promoter,15. Agrochemical
asking for use growth promoter,15. Agrochemical
query regarding deactivation of sms,15. Agrochemical
asking about fungal infection in the leaf of brinjal,15. Agrochemical
conplain against dd kisaan sms system and want to stop it,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
psuedostem borer,15. Agrochemical
control measure weed,15. Agrochemical
control measure of powdery mildew of brinjal,15. Agrochemical
asking about the application of micro-nutrient in sponge gourd.,15. Agrochemical
asking for control of leaf eating caterpilar,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
fertilizer dose of sali rice,15. Agrochemical
asking about the fish pond water test,15. Agrochemical
micronuitrient for rice,15. Agrochemical
query regarding feeding of carps,15. Agrochemical
rice stem borer,15. Agrochemical
query regarding dose of zinc sulphate per bigha,15. Agrochemical
query regarding fertilizer dose of sali rice,15. Agrochemical
pest problem,15. Agrochemical
control measure of rice stem borer,15. Agrochemical
quaring about fruit fly in pointed gourd,15. Agrochemical
asking about application of lime in pond,15. Agrochemical
new registration,15. Agrochemical
query regarding application of urea as second dose in paddy,15. Agrochemical
asking about the benefit of spraying urea in sali paddy seedling.,15. Agrochemical
control measure of flower dropping of chilli,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking about the weed management in sugarcane,15. Agrochemical
asking about pond management,15. Agrochemical
white fly problem in bhindi,15. Agrochemical
wanted to know about nutrient managemant in water melon.,15. Agrochemical
asking about the fertiliser dose in pumpkin,15. Agrochemical
query about leaf fall in mango tree,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
control measure of shoot borer of citrus,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
asking about the the fertiliser dose of pumpkin,15. Agrochemical
wanted to stop sms from kcc,15. Agrochemical
asking control of shoot borer attack in lemon tree,15. Agrochemical
asked about agri,15. Agrochemical
wanted to stop sms from kcc,15. Agrochemical
micro nutrient requirment in chilli,15. Agrochemical
control of algal bloom in fish pond,15. Agrochemical
wanted to know nutrient management of paddy( var bahadur),15. Agrochemical
complaining against sms,15. Agrochemical
pest control in sponge gourd,15. Agrochemical
fruit fly problem in spine gourd,15. Agrochemical
leaf spot in betel vine,15. Agrochemical
wanted to query about rice stem borer,15. Agrochemical
control measure of leaf curling of chilli,15. Agrochemical
query regarding stem borer,15. Agrochemical
query regarding thrips in sali paddy,15. Agrochemical
asking control of leaf blast attack in paddy field,15. Agrochemical
query regarding control measures of gandhi bug in paddy,15. Agrochemical
asking about the benefit of spraying urea in paddy seedling.,15. Agrochemical
asking about the benefit of top dressing of urea in sali paddy.,15. Agrochemical
control measure of rice stem borer,15. Agrochemical
asking about micronutrient requirement for fish,15. Agrochemical
control of leaf blast in paddy seedlings,15. Agrochemical
asking about caterpillar problem in bitter gourd,15. Agrochemical
want to quere on seed treatment of rice,15. Agrochemical
asking control case worm attack in paddy,15. Agrochemical
query regarding ussd service,15. Agrochemical
micronutrient for fry,15. Agrochemical
asked about carp management,15. Agrochemical
hispa problem in rice,15. Agrochemical
asked about agriculture,15. Agrochemical
want to know government schemes on vegetable cultivation,15. Agrochemical
querry regarding fertilizer dose of sali paddy.,15. Agrochemical
control of downy mildew in cucumber,15. Agrochemical
want to know about seedling treatment of rice,15. Agrochemical
query regarding veterinary,15. Agrochemical
want to know regarding blast of rice,15. Agrochemical
asking about fertilizer dose for sali paddy,15. Agrochemical
control measure of shoot borer in citrus,15. Agrochemical
control measures of rice hispa,15. Agrochemical
query regarding veterinary,15. Agrochemical
control measure turmite in sugarcane,15. Agrochemical
asking about vaccination,15. Agrochemical
asking about good varity of garlic,15. Agrochemical
control measures of rice hispa,15. Agrochemical
new registration,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
asking about water quality management of fish pond,15. Agrochemical
control measure of leaf eating caterpiller of marigold,15. Agrochemical
querry regarding fertilizer dose of coconut,15. Agrochemical
regarding pest lemon,15. Agrochemical
asking about the fertilizer dose of sali paddy.,15. Agrochemical
asking about the different prices of rice,15. Agrochemical
asking control of nut drop in arecanut,15. Agrochemical
asking about the rice hispa infestation in rice field,15. Agrochemical
asking about the rice hispa infestation in rice field,15. Agrochemical
asking control of scaring beetle attack in banana,15. Agrochemical
query about infection at foot of a local cow,15. Agrochemical
rice hispa,15. Agrochemical
control measure of pest in chilli,15. Agrochemical
querry regarding fertilizer dose,15. Agrochemical
control of pseudostem borer in banana,15. Agrochemical
asking about nutrient management of paddy,15. Agrochemical
top dressing in sali paddy,15. Agrochemical
control of fruit borer in guava,15. Agrochemical
micronutrient for carps,15. Agrochemical
query regarding ussd service,15. Agrochemical
asking about the procedure for cane treatment and fertilizer dose.,15. Agrochemical
"asking about the fertilizer dose of arecanut trre.
 (10 years old)",15. Agrochemical
asking about micronutrient requirement for brinjal,15. Agrochemical
querry regarding blast in sali paddy,15. Agrochemical
query regarding early varities of cauliflower,15. Agrochemical
control measure of leaf eating caterpiller of jesmin,15. Agrochemical
control measure of leaf eating caterpiller of jasmin,15. Agrochemical
asking control of stem borer attack in paddy cultivation,15. Agrochemical
query regarding application of vitamin in pomegranate,15. Agrochemical
asking control of leaf miner attack in paddy field at 15 days after transplanting,15. Agrochemical
asking about rice hispa,15. Agrochemical
asking about the o2 max dose,15. Agrochemical
want to know regarding rhizome weevil of banana,15. Agrochemical
querry regarding fertilizer dose of bottle gourd,15. Agrochemical
asking about cultural practices of magur fish,15. Agrochemical
querry regarding curling leaves in chillie,15. Agrochemical
asking about the micronutrient for fish growth,15. Agrochemical
asking control of leaf eating caterpillar  attack in dolichos bean,15. Agrochemical
querry regarding zinc application in sali paddy,15. Agrochemical
querry regarding fertilizer dose of sali paddy,15. Agrochemical
control measure of fruit fly of bottle gourd,15. Agrochemical
asking about the topdressing of urea in rice,15. Agrochemical
